sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
215914,https://sofifa.com/player/215914/ngolo-kante/220002,N. Kant?,N'Golo Kant?,"CDM, CM",90,90,100000000,230000,30,1991-03-29,168,70,5,Chelsea,English Premier League,1,RCM,7,,2016-07-16,2023,18,France,1335,CDM,13,Right,3,2,4,Medium/High,Unique,Yes,185000000,"#Tackling, #Tactician?",Leadership,78,66,75,82,87,83,68,65,54,82,56,79,49,49,79,81,82,75,82,93,92,71,77,97,72,65,93,91,72,78,54,84,90,93,86,15,12,10,7,10,,72+3,72+3,72+3,77,77,77,77,77,78+3,78+3,78+3,79+3,82+3,82+3,82+3,79+3,85+3,87+3,87+3,87+3,85+3,85+3,84+3,84+3,84+3,85+3,20+3,https://cdn.sofifa.net/players/215/914/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1335/60.png,https://cdn.sofifa.net/flags/fr.png
165153,https://sofifa.com/player/165153/karim-benzema/220002,K. Benzema,Karim Benzema,"CF, ST",89,89,66000000,350000,33,1987-12-19,185,81,243,Real Madrid CF,Spain Primera Division,1,CF,9,,2009-07-09,2023,18,France,1335,CF,19,Right,4,4,4,Medium/Medium,Normal (170-185),Yes,135300000,#Poacher,"Leadership, Finesse Shot, Playmaker (AI), Outside Foot Shot, Team Player",76,86,81,87,39,77,75,90,89,86,86,87,81,73,73,90,77,75,79,91,72,85,79,78,82,79,63,39,90,87,84,90,43,24,18,13,11,5,5,7,,87+2,87+2,87+2,85,87,87,87,85,86+3,86+3,86+3,84+3,80+3,80+3,80+3,84+3,63+3,62+3,62+3,62+3,63+3,59+3,55+3,55+3,55+3,59+3,18+3,https://cdn.sofifa.net/players/165/153/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1335/60.png,https://cdn.sofifa.net/flags/fr.png
192119,https://sofifa.com/player/192119/thibaut-courtois/220002,T. Courtois,Thibaut Courtois,GK,89,91,85500000,250000,29,1992-05-11,199,96,243,Real Madrid CF,Spain Primera Division,1,GK,1,,2018-08-09,2026,7,Belgium,1325,GK,1,Left,3,1,4,Medium/Medium,Unique,Yes,181700000,,"GK Long Throw, Comes For Crosses",,,,,,,14,14,13,33,12,13,19,20,35,23,42,52,62,84,45,56,68,38,70,17,23,15,13,44,27,66,20,18,16,84,89,74,86,88,46,31+3,31+3,31+3,29,31,31,31,29,32+3,32+3,32+3,31+3,32+3,32+3,32+3,31+3,29+3,31+3,31+3,31+3,29+3,29+3,29+3,29+3,29+3,29+3,86+3,https://cdn.sofifa.net/players/192/119/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png
200104,https://sofifa.com/player/200104/heung-min-son/220002,H. Son,      ???,"LM, CF, LW",89,89,104000000,220000,28,1992-07-08,183,78,18,Tottenham Hotspur,English Premier League,1,LW,7,,2015-08-28,2025,167,Korea Republic,,,,Right,5,4,4,High/High,Unique,Yes,197600000,"#Dribbler, #Engine, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward","Solid Player, Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Technical Dribbler (AI)",88,87,82,86,43,69,83,88,68,84,78,87,85,74,74,84,85,90,86,91,78,88,60,88,64,89,62,39,91,83,73,89,50,34,33,11,13,13,6,10,,85+3,85+3,85+3,87,87,87,87,87,86+3,86+3,86+3,86+3,80+3,80+3,80+3,86+3,68+3,64+3,64+3,64+3,68+3,64+3,54+3,54+3,54+3,64+3,19+3,https://cdn.sofifa.net/players/200/104/22_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/kr.png
200145,https://sofifa.com/player/200145/carlos-henrique-venancio-casimiro/220002,Casemiro,Carlos Henrique Venancio Casimiro,CDM,89,89,88000000,310000,29,1992-02-23,185,84,243,Real Madrid CF,Spain Primera Division,1,CDM,14,,2013-07-11,2025,54,Brazil,,,,Right,3,2,3,High/High,Unique,Yes,180400000,"#Engine, #Tackling, #Tactician, #Strength, #Complete Defender","Power Free-Kick, Dives Into Tackles (AI), Long Shot Taker (AI), Team Player",65,73,76,73,86,90,58,64,79,84,62,69,62,74,84,79,60,69,61,87,66,88,87,89,90,81,91,87,75,80,66,84,85,88,87,13,14,16,12,12,,76+3,76+3,76+3,72,76,76,76,72,76+3,76+3,76+3,74+3,82+3,82+3,82+3,74+3,80+3,86+3,86+3,86+3,80+3,81+3,86+3,86+3,86+3,81+3,21+3,https://cdn.sofifa.net/players/200/145/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/br.png
203376,https://sofifa.com/player/203376/virgil-van-dijk/220002,V. van Dijk,Virgil van Dijk,CB,89,89,86000000,230000,29,1991-07-08,193,92,9,Liverpool,English Premier League,1,LCB,4,,2018-01-01,2025,34,Netherlands,105035,LCB,4,Right,3,2,4,Medium/Medium,Unique,Yes,159100000,"#Tackling, #Tactician, #Strength, #Complete Defender","Leadership, Long Passer (AI), Power Header",78,60,71,72,91,84,53,52,87,79,45,70,60,70,86,76,66,88,61,87,53,81,90,69,92,64,83,90,47,65,62,90,92,92,86,13,10,13,11,11,,70+3,70+3,70+3,67,69,69,69,67,70+3,70+3,70+3,70+3,75+3,75+3,75+3,70+3,79+3,84+3,84+3,84+3,79+3,81+3,88+1,88+1,88+1,81+3,20+3,https://cdn.sofifa.net/players/203/376/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/105035/60.png,https://cdn.sofifa.net/flags/nl.png
208722,https://sofifa.com/player/208722/sadio-mane/220002,S. Man?,Sadio Man?,LW,89,89,101000000,270000,29,1992-04-10,175,69,9,Liverpool,English Premier League,1,LW,10,,2016-07-01,2023,136,Senegal,,,,Right,4,4,4,High/Medium,Unique,Yes,186900000,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Flair, Speed Dribbler (AI)",91,83,80,89,44,77,78,86,84,84,75,90,77,64,71,88,93,90,93,91,88,83,87,85,72,80,75,35,90,84,71,84,42,42,38,10,10,15,7,14,,86+3,86+3,86+3,87,88,88,88,87,87+2,87+2,87+2,86+3,80+3,80+3,80+3,86+3,68+3,65+3,65+3,65+3,68+3,65+3,59+3,59+3,59+3,65+3,19+3,https://cdn.sofifa.net/players/208/722/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/sn.png
209331,https://sofifa.com/player/209331/mohamed-salah/220002,M. Salah,Mohamed Salah Ghaly,RW,89,89,101000000,270000,29,1992-06-15,175,71,9,Liverpool,English Premier League,1,RW,11,,2017-07-01,2023,111,Egypt,,,,Left,3,4,4,High/Medium,Unique,Yes,186900000,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",90,87,81,90,45,75,79,91,59,84,81,90,83,69,75,89,89,91,91,92,91,82,69,85,75,84,63,55,91,83,86,90,38,43,41,14,14,9,11,14,,85+3,85+3,85+3,88,88,88,88,88,87+2,87+2,87+2,87+2,82+3,82+3,82+3,87+2,71+3,68+3,68+3,68+3,71+3,67+3,58+3,58+3,58+3,67+3,22+3,https://cdn.sofifa.net/players/209/331/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/eg.png
210257,https://sofifa.com/player/210257/ederson-santana-de-moraes/220002,Ederson,Ederson Santana de Moraes,GK,89,91,94000000,200000,27,1993-08-17,188,86,10,Manchester City,English Premier League,1,GK,31,,2017-07-01,2026,54,Brazil,,,,Left,3,1,3,Medium/Medium,Unique,Yes,181000000,,"Long Passer (AI), Rushes Out Of Goal, Comes For Crosses",,,,,,,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78,18,38,27,20,70,51,70,29,15,8,87,82,93,88,88,64,40+3,40+3,40+3,41,43,43,43,41,47+3,47+3,47+3,44+3,49+3,49+3,49+3,44+3,37+3,44+3,44+3,44+3,37+3,36+3,35+3,35+3,35+3,36+3,87+3,https://cdn.sofifa.net/players/210/257/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/br.png
212622,https://sofifa.com/player/212622/joshua-kimmich/220002,J. Kimmich,Joshua Walter Kimmich,"CDM, RB",89,90,108000000,160000,26,1995-02-08,177,75,21,FC Bayern M?nchen,German 1. Bundesliga,1,RDM,6,,2015-07-01,2025,21,Germany,1337,RDM,6,Right,4,3,4,High/Medium,Lean (170-185),Yes,186300000,#Crosser,"Leadership, Long Passer (AI), Playmaker (AI)",70,73,86,84,83,79,91,68,72,87,69,83,85,61,90,85,77,65,84,88,84,78,79,94,68,84,89,84,80,85,44,85,85,85,79,8,15,7,15,15,,77+3,77+3,77+3,82,81,81,81,82,83+3,83+3,83+3,83+3,86+3,86+3,86+3,83+3,85+3,86+3,86+3,86+3,85+3,83+3,81+3,81+3,81+3,83+3,21+3,https://cdn.sofifa.net/players/212/622/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png
212831,https://sofifa.com/player/212831/alisson-ramses-becker/220002,Alisson,Alisson Rams?s Becker,GK,89,90,82000000,190000,28,1992-10-02,191,91,9,Liverpool,English Premier League,1,GK,1,,2018-07-19,2027,54,Brazil,,,,Right,3,1,3,Medium/Medium,Unique,Yes,157900000,,"GK Long Throw, Rushes Out Of Goal",,,,,,,17,13,29,45,20,27,19,18,44,30,56,47,40,87,37,63,52,32,78,14,27,11,13,66,23,65,15,19,16,86,86,84,90,89,52,37+3,37+3,37+3,35,38,38,38,35,40+3,40+3,40+3,38+3,40+3,40+3,40+3,38+3,31+3,35+3,35+3,35+3,31+3,30+3,31+3,31+3,31+3,30+3,87+3,https://cdn.sofifa.net/players/212/831/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/br.png
230621,https://sofifa.com/player/230621/gianluigi-donnarumma/220002,G. Donnarumma,Gianluigi Donnarumma,GK,89,93,119500000,110000,22,1999-02-25,196,90,73,Paris Saint-Germain,French Ligue 1,1,GK,50,,2021-07-15,2026,27,Italy,1343,GK,21,Right,3,1,3,Medium/Medium,Unique,Yes,230000000,,"Rushes Out Of Goal, Comes For Crosses",,,,,,,12,12,12,36,8,28,12,14,34,30,50,55,64,85,38,59,72,34,72,18,30,26,14,60,24,68,20,14,16,91,83,79,85,90,52,34+3,34+3,34+3,34,36,36,36,34,38+3,38+3,38+3,35+3,37+3,37+3,37+3,35+3,31+3,34+3,34+3,34+3,31+3,31+3,31+3,31+3,31+3,31+3,87+3,https://cdn.sofifa.net/players/230/621/22_120.png,https://cdn.sofifa.net/teams/73/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/teams/1343/60.png,https://cdn.sofifa.net/flags/it.png
155862,https://sofifa.com/player/155862/sergio-ramos-garcia/220002,Sergio Ramos,Sergio Ramos Garc?a,CB,88,88,24000000,115000,35,1986-03-30,184,82,73,Paris Saint-Germain,French Ligue 1,1,LCB,4,,2021-07-08,2023,45,Spain,1362,SUB,15,Right,3,3,4,High/Medium,Unique,Yes,44400000,"#Aerial Threat, #Tackling, #Tactician, #Complete Defender","Injury Prone, Dives Into Tackles (AI), Leadership, Long Passer (AI), Power Header, Team Player",70,70,76,74,88,84,66,65,92,82,69,65,74,76,83,83,71,69,77,92,66,79,93,78,84,64,90,87,73,71,92,88,84,89,91,11,8,9,7,11,,76+3,76+3,76+3,73,75,75,75,73,75+3,75+3,75+3,74+3,79+3,79+3,79+3,74+3,81+3,85+3,85+3,85+3,81+3,83+3,87+1,87+1,87+1,83+3,18+3,https://cdn.sofifa.net/players/155/862/22_120.png,https://cdn.sofifa.net/teams/73/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/teams/1362/60.png,https://cdn.sofifa.net/flags/es.png
176580,https://sofifa.com/player/176580/luis-suarez/220002,L. Su?rez,Luis Alberto Su?rez D?az,ST,88,88,44500000,135000,34,1987-01-24,182,83,240,Atl?tico de Madrid,Spain Primera Division,1,RS,9,,2020-09-25,2022,60,Uruguay,,,,Right,4,3,5,High/Medium,Unique,Yes,91200000,"#Distance Shooter, #Clinical Finisher","Solid Player, Outside Foot Shot",72,90,82,84,47,83,80,93,84,83,90,83,86,82,77,86,76,69,75,92,78,89,69,78,85,88,87,41,91,84,83,87,42,45,38,27,25,31,33,37,,87+1,87+1,87+1,84,86,86,86,84,85+3,85+3,85+3,83+3,80+3,80+3,80+3,83+3,66+3,67+3,67+3,67+3,66+3,63+3,61+3,61+3,61+3,63+3,37+3,https://cdn.sofifa.net/players/176/580/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/uy.png
182521,https://sofifa.com/player/182521/toni-kroos/220002,T. Kroos,Toni Kroos,CM,88,88,75000000,310000,31,1990-01-04,183,76,243,Real Madrid CF,Spain Primera Division,1,LCM,8,,2014-07-17,2023,21,Germany,,,,Right,5,3,4,Medium/Medium,Normal (170-185),Yes,153800000,"#Playmaker, #Distance Shooter, #Crosser, #Complete Midfielder","Long Passer (AI), Long Shot Taker (AI), Playmaker (AI)",53,81,91,81,71,68,88,77,58,93,82,80,86,84,93,88,55,52,63,90,71,89,32,75,72,86,60,80,76,90,73,88,71,73,60,10,11,13,7,10,,77+3,77+3,77+3,80,81,81,81,80,83+3,83+3,83+3,81+3,86+2,86+2,86+2,81+3,77+3,81+3,81+3,81+3,77+3,74+3,71+3,71+3,71+3,74+3,19+3,https://cdn.sofifa.net/players/182/521/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/de.png
